"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"Chris Paul","PHX",38,59,33,26,1888.6,819,294,668,98,261,133,160,27,224,251,524,114,91,22,126,2131,17,0
"Damion Lee","PHX",30,74,40,34,1506.3,604,200,452,110,247,94,104,39,186,225,99,78,30,7,118,1056,0,0
"Darius Bazley","PHX",23,43,19,24,616.2,224,83,183,20,53,38,70,34,104,138,38,27,22,34,44,588,0,0
"Deandre Ayton","PHX",24,67,36,31,2035.3,1203,522,887,7,24,152,200,172,495,667,115,120,37,53,190,2326,36,0
"Devin Booker","PHX",26,53,34,19,1835.4,1471,527,1067,111,316,306,358,46,194,240,293,145,51,18,159,2261,5,0
"Ish Wainright","PHX",28,60,33,27,915.1,251,84,227,57,173,26,31,45,94,139,53,22,38,22,117,655,0,0
"Jock Landale","PHX",27,69,35,34,978.5,456,178,337,21,84,79,105,119,161,280,68,59,16,30,126,973,3,0
"Josh Okogie","PHX",24,72,38,34,1350.6,529,162,414,66,197,139,192,109,142,251,105,63,56,34,114,1195,2,0
"Kevin Durant","PHX",34,47,34,13,1671.8,1366,483,862,93,230,307,334,17,296,313,235,156,34,67,99,2241,5,1
"Landry Shamet","PHX",26,40,19,21,806.9,346,113,300,75,199,45,51,11,56,67,93,36,26,5,61,623,0,0
"Saben Lee","PHX",24,25,15,10,373.5,151,49,121,11,30,42,57,13,32,45,67,24,19,1,32,342,1,0
"T.J. Warren","PHX",29,42,26,16,686.7,314,132,270,22,67,28,35,26,95,121,40,20,22,12,65,601,0,0
"Terrence Ross","PHX",32,63,27,36,1330.5,522,200,465,95,258,27,34,22,132,154,95,43,35,10,97,941,0,0
"Torrey Craig","PHX",32,79,44,35,1947.8,588,228,500,100,253,32,45,145,281,426,117,73,50,62,179,1538,4,0
